input_name,author_name,orcid,year,cited_by_count
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2009,2
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2012,41
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2013,0
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2014,42
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2015,2
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2016,4
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2017,0
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2018,25
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2019,24
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2020,5
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2021,6
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2022,31
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2023,7
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2024,2
"Chan, Debora Mirta",Débora Chan,0000-0003-0125-7345,2025,0
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,1960,261
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,1965,122
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,1967,137
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2008,12
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2009,12
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2010,9
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2011,19
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2012,80
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2013,46
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2015,25
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2016,96
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2017,40
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2018,27
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2019,11
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2020,32
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2021,56
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2022,13
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2023,11
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2024,14
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2025,0
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,1993,12
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,1994,11
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,1996,0
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,1998,9
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,1999,2
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2000,27
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2003,1
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2004,4
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2006,14
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2007,12
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2010,1
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2012,16
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2016,22
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2017,2
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2021,14
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2022,13
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2023,10
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2024,6
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2025,0
"Gattari, Daniel",Daniel Gattari,0009-0008-1347-2863,2024,0
"Gattari, Daniel",Daniel Gattari,0009-0008-1347-2863,2025,0
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2007,0
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2010,1
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2011,5
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2012,1
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2013,12
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2014,6
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2015,13
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2016,2
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2017,0
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2018,3
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2019,0
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2020,3
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2021,7
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2024,0
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,1985,0
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,1995,2
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,1996,7
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,1997,10
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2007,1
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2009,0
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2010,1
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2011,2
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2013,0
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2021,0
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2022,0
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2023,10
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2024,11
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2007,8
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2011,97
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2012,14
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2013,6
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2014,83
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2015,62
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2016,19
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2017,4
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2018,81
