input_name,author_name,orcid,title,work_openalex_id,citation_year,citations
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,Development of a Geoelectric Device of Capacitive Contact for Studying Archaeological Targets in Very Resistive Zones,https://openalex.org/W2070637857,2024,1
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,Development of a Geoelectric Device of Capacitive Contact for Studying Archaeological Targets in Very Resistive Zones,https://openalex.org/W2070637857,2023,1
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,Development of a Geoelectric Device of Capacitive Contact for Studying Archaeological Targets in Very Resistive Zones,https://openalex.org/W2070637857,2019,1
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,Development of a Geoelectric Device of Capacitive Contact for Studying Archaeological Targets in Very Resistive Zones,https://openalex.org/W2070637857,2017,1
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,Development of a Geoelectric Device of Capacitive Contact for Studying Archaeological Targets in Very Resistive Zones,https://openalex.org/W2070637857,2015,1
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,Using surface‐downhole ERT for detecting contaminants in deep aquifers due to exploitation of oil reservoirs,https://openalex.org/W2856844284,2024,1
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,Using surface‐downhole ERT for detecting contaminants in deep aquifers due to exploitation of oil reservoirs,https://openalex.org/W2856844284,2020,1
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,"Geoelectrical and EMI Studies at an Urban Site in Buenos Aires, Argentina, for Localizing an Old Tunnel",https://openalex.org/W2909411851,2021,1
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,Key features and guidelines for the application of microbial alpha diversity metrics,https://openalex.org/W4406039893,2026,24
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,Key features and guidelines for the application of microbial alpha diversity metrics,https://openalex.org/W4406039893,2025,54
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,Variability and bias in microbiome metagenomic sequencing: an interlaboratory study comparing experimental protocols,https://openalex.org/W4396242074,2026,6
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,Variability and bias in microbiome metagenomic sequencing: an interlaboratory study comparing experimental protocols,https://openalex.org/W4396242074,2025,23
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,Variability and bias in microbiome metagenomic sequencing: an interlaboratory study comparing experimental protocols,https://openalex.org/W4396242074,2024,7
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,Variability and bias in microbiome metagenomic sequencing: an interlaboratory study comparing experimental protocols,https://openalex.org/W4396242074,2023,1
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,ISOGO: Functional annotation of protein-coding splice variants,https://openalex.org/W3001041731,2025,3
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,ISOGO: Functional annotation of protein-coding splice variants,https://openalex.org/W3001041731,2024,1
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,ISOGO: Functional annotation of protein-coding splice variants,https://openalex.org/W3001041731,2023,4
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,ISOGO: Functional annotation of protein-coding splice variants,https://openalex.org/W3001041731,2022,1
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,ISOGO: Functional annotation of protein-coding splice variants,https://openalex.org/W3001041731,2021,3
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,Improving Integration Process Efficiency through Pull Request Prioritization,https://openalex.org/W4226254681,2024,3
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,Improving Integration Process Efficiency through Pull Request Prioritization,https://openalex.org/W4226254681,2023,1
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,M2K - An Approach for an Object-oriented Model of C Applications,https://openalex.org/W1906218916,2017,1
