input_name,author_name,orcid,citation_year,citations
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2019,47
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2020,57
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2021,72
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2022,64
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2023,48
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2024,51
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2025,34
"Cuevas, Mauro",Mauro Cuevas,0000-0001-6180-4553,2026,5
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2012,11
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2013,13
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2014,6
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2015,6
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2016,8
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2017,4
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2018,4
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2019,9
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2020,6
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2021,7
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2022,12
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2023,12
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2024,20
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2025,11
"Ferrari, Hernán",H. Ferrari,0000-0002-7024-3900,2026,2
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2012,2
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2013,1
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2014,1
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2015,3
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2016,7
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2017,2
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2018,6
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2019,1
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2020,4
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2021,8
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2022,4
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2023,1
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2024,7
"Grünhut, Vivian",Vivian Grünhut,0000-0003-4442-7789,2025,5
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2012,1
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2013,1
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2014,2
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2015,1
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2017,1
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2018,1
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2021,2
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2022,1
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2023,4
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2024,8
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2025,12
"Herrero, Victor A.",Víctor Herrero,0000-0001-9013-2135,2026,1
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2012,4
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2013,11
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2014,12
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2015,27
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2016,18
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2017,28
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2018,48
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2019,28
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2020,34
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2021,40
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2022,61
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2023,34
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2024,39
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2025,29
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2026,4
"Marcos, T.",Tomás Marcos,0000-0002-5598-0830,2014,1
"Marcos, T.",Tomás Marcos,0000-0002-5598-0830,2021,1
"Marcos, T.",Tomás Marcos,0000-0002-5598-0830,2022,4
"Marcos, T.",Tomás Marcos,0000-0002-5598-0830,2023,4
"Marcos, T.",Tomás Marcos,0000-0002-5598-0830,2024,2
"Marcos, T.",Tomás Marcos,0000-0002-5598-0830,2025,3
"Olmedo, Agustín",Agustín Olmedo,0000-0003-2844-6816,2023,1
"Olmedo, Agustín",Agustín Olmedo,0000-0003-2844-6816,2024,4
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2012,11
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2013,13
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2014,14
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2015,22
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2016,24
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2017,21
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2018,14
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2019,16
